gender,pitch,tempo,energy,emotion,style_prompt,content_prompt
M,low,normal,high,neutral,The male speaker's energetic speaking style is sustained by his low pitch and regular speaking speed.,"""Is that all, my good fellow?"" he asked the driver, who during the last few minutes had been busy with his horses."
M,low,high,low,neutral,The man's rapid speech and low tone amalgamate into a lethargic demeanor.,"However they took what they liked, and kept him with them."
M,low,high,high,neutral,"The male speaker, with his low-pitched voice, conveys rapid, high-energy speech.","It is not to be reconciled with you that he wants you, but only that you would go and show yourself at his door."
F,high,normal,high,neutral,"Speaking dynamically, her tone is high and energetic.","If they can't wait till the custards are baked, they may go without-that's all."
F,normal,normal,low,sad,"Speaking at a moderate pace, her downcast energy remains low.",She has a high voice.
F,normal,normal,normal,neutral,The girl's voice is neither fast nor slow.,"In appearance, rough and savage as the gaunt dogs sitting with them around the blaze; in fact, simple minded, tender hearted; effects due, in part, to the primitive life they led, but chiefly to their constant care of things lovable and helpless."
M,normal,high,high,neutral,The male speaker maintains normal pitch while speaking rapidly and energetically.,"""That would be a good scheme,"" said Elizabeth, ""if you were sure that they would not offer to send her home."""
F,normal,low,low,disgusted,"Speaking softly and at a leisurely pace, she conveyed her revulsed thoughts.",say the word ring
F,high,high,high,neutral,Rapid speech and a high tone characterize her energetic voice.,"""The waiter didn't seem to think much of it when he brought it."""
M,low,normal,normal,neutral,His low-pitched voice conveys dialogue at a regular pace with moderate liveliness in his speech.,"It was the end of the first period of the Russian revolution, which these men had attempted to guide in careful ways...."
F,high,normal,normal,neutral,"Her voice has a high pitch, and she talks at a moderate rate.","In single file we marched through the gray morning, clearing cold after the storm, and the silence was seldom broken, for we had little heart to talk."
F,normal,normal,normal,neutral,The woman's speech flows at a normal rate and pitch.,"His papers were in a little confusion, in consequence of mr Jack Maldon having lately proffered his occasional services as an amanuensis, and not being accustomed to that occupation; but we should soon put right what was amiss, and go on swimmingly."
F,normal,normal,high,neutral,"Speaking with high energy, her regular tone once again shines brightly.","And each man said to his neighbour: ""No wonder that these men won fame."
F,high,normal,low,fear,"She speaks quietly, her terrified pitch reaching heights.",say the word have
F,low,normal,normal,neutral,"In a subwoofer-like manner, she communicated at an even pace.","I wonder if you've got what I want,' said the old woman as she thrust a pair of hideous brown hands into the herb basket, and began turning over all the neatly packed herbs with her skinny fingers, often holding them up to her nose and sniffing at them."
M,low,normal,high,neutral,A man's dynamic delivery is complemented by his low-pitched voice and regular speaking speed.,"Well, dear, I think I can cure that in five minutes."
F,high,normal,high,neutral,Her high-pitched voice resonates with vibrant energy as she speaks.,"Get on your frills, for we're going to a first night."
F,high,low,high,neutral,"In a measured and energetic manner, she spoke with a high-pitched tone.",ninety nine.
F,high,normal,high,neutral,The girl's high-energy tone captivates the listeners' attention.,"Her better judgment told her that she could be nothing to this debonair knight of the road, yet her heart stubbornly resisted all the arguments that her reason put forth."
F,normal,high,normal,neutral,"Speaking swiftly, the woman gave her opinion.","Again, he was not in the secret of the Underground Rail Road movement; he knew that many got off, but how they managed it he was ignorant."
M,low,low,low,sad,"With a slow speaking speed and a low pitch, the despondent male speaker's audio style captures a tranquil ambiance, inviting the listener to immerse themselves in a world of calmness and serenity.",A nauseous draught.
M,low,normal,low,neutral,"A man employs a deep voice and customary speech tempo, suggesting a state of diminished energy.",The institute board will take the decision.
M,low,normal,high,neutral,"Speaking with animation, the man uses a low-pitched voice to convey high energy in a natural manner.","There were ten chances at thirty dollars each, and they were all quickly taken."
F,high,high,low,neutral,The woman's high-pitched voice conveyed urgency as she spoke quickly.,He lifted it gingerly-there was a little knob for the purpose-and let it fall gently into the socket which had been made to receive it on the door itself.
F,normal,high,low,neutral,"The girl communicates with rapid, low-energy speech.",I do not attempt to answer that.
F,high,normal,low,fear,"In her terrified calm and quiet manner, she maintains a high key.",Will you tell me why
M,high,normal,high,neutral,"The man's high-pitched speech, accompanied by energy, is spoken at a moderate pace.","Truly I didn't,"" stammered peter. ""If I had, I would have been here long ago."
F,normal,normal,normal,neutral,She uses a normal rate and tone to convey her message.,"Inside, the atmosphere was quiet."
F,normal,normal,low,neutral,"She talks quietly, maintaining her normal pitch.",We also need a small plastic snake and a big toy frog for the kids.
M,normal,normal,normal,neutral,"A male speaker communicates with others, delivering his speech at a typical pace with moderate energy.","This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."
M,low,normal,high,neutral,"With his resonant, deep voice, the man delivers his message with animated energy and a steady pace.",There is also another circumstance that contributes not a little to my conviction of the weakness of ancient times.
F,high,low,low,happy,"With a deliberate speaking speed, her joyful voice exhibited a high pitch and low energy.",say the word whip
F,high,high,low,neutral,"With a sharp tone and rapid pace, she conveyed her message.",Is it in the right place ?
F,high,normal,normal,neutral,"A female treble speaks naturally, her voice resonating clearly.","A bump on the library door, as from an opposing knee, did duty for a knock."
F,high,normal,high,neutral,"Energetically expressing herself, her voice is high and passionate.",And all only for sport?
M,low,normal,high,neutral,His dynamic demeanor is matched by his low-pitched voice as he speaks at a normal pace.,Or Science and its continuity with Presbyterianism-data like this are damned at birth.
F,normal,high,high,neutral,"With a quick tempo and vibrant voice, she engages listeners.",I felt we had fallen back a little.
M,low,normal,normal,neutral,"Speaking in a calm, deep voice, the male communicator maintains a normal speaking rate and energy.","""I have felt that for a long time."
F,high,low,low,angry,"The woman spoke slowly, her livid voice's pitch was high, and her energy was barely there.",You're so preoccupied that you've let your faith grow dim
F,high,low,low,neutral,"She spoke slowly, her tone was high-pitched and her energy was low.",Why this Josiana?
M,low,low,high,neutral,"With a low-pitched voice and unhurried pace, the male speaker's high energy was contagious.","While sojourning at Casa del Corvo, you may get hints of a strange story connected with the place-now almost reduced to a legend."
M,normal,high,normal,neutral,"Speaking rapidly with customary vitality, the male's pitch remains average.","""Why should I not appeal-?"
M,normal,normal,normal,angry,A normal pitch is employed by the enraged male speaker as he talks with usual speed and energy.,They were children of mine.
F,normal,normal,high,neutral,"With vibrant energy, her voice maintains a normal tone.",They came quickly and with stern and solemn emphasis.
M,low,normal,high,neutral,"The man speaks with zeal, his energetic delivery complemented by a low-pitched tone and regular speed.","Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  "
M,normal,normal,normal,neutral,"Speaking with a standard pitch, he maintained a normal speaking speed and showed typical energy levels.","""By the way, where does Cresty build?"" asked peter."
M,low,high,low,neutral,"The male's quick speech, combined with a lack of vigor, manifests through his low-pitched voice.",Note the date.
M,low,normal,high,neutral,"A man's dynamic delivery is carried by his low-pitched voice and a normal speaking pace, radiating high energy.",That formality makes the paper as good as money so long as the bank accepting it is solvent.
F,normal,normal,high,neutral,The woman's high-energy speech maintains her normal pitch.,"It is a task not a whit less worthy, less painful, or less baffling than that of the most conscientious novelist."
M,normal,high,high,neutral,"The man addresses the crowd with rapid speech, maintaining a normal pitch and exuding high energy.",She seemed to concede a point.
M,low,normal,high,neutral,A male speaker employs a low-pitched voice to convey his high energy while speaking at a natural tempo.,"But let the occasion arise, either in the pursuit of game or in some case of necessity, and she at once throws all her scruples overboard, and goes overboard after them, wetting both feet and fur with a will."
M,normal,normal,normal,neutral,"A male speaker engages the listeners in conversation, speaking at a typical pace with normal energy.",They are the innocent victims.
F,normal,normal,high,neutral,"Speaking at a regular pitch, the woman radiates energy and enthusiasm.","She's frank and open and brave, and will do credit to my judgment."""
M,low,normal,high,neutral,"With energetic intent, the male speaker uses his low tone to maintain a regular speaking speed while conveying high energy.","The vouchers were produced, and for the next half hour Mr Fledgeby concentrated his sublime attention on them."
M,low,normal,normal,neutral,The man's customary low-pitched voice engages in dialogue at an ordinary tempo and regular enthusiasm.,"At last the bolts grated back, there was a pause, and then the door opened a little way, and Otto thought that he could see someone peeping in from without. By and by the door opened further, there was another pause, and then a slender, elfish looking little girl, with straight black hair and shining black eyes, crept noiselessly into the room."
M,normal,normal,high,neutral,A standard-pitched male speaker speaks passionately with high energy and a moderate speed.,They roused him with muffins-they roused him with ice- They roused him with mustard and cress- They roused him with jam and judicious advice- They set him conundrums to guess.
M,low,normal,normal,neutral,His deep voice remains constant as he speaks with a normal tempo and typical enthusiasm.,The travellers let a rope down and drew him up to daylight.
M,high,normal,low,sad,"The man conveyed his unhappy message in a high-pitched voice at a normal speed, accompanied by a hint of low energy.","As soon as she went in, there was disorder."
F,high,high,high,neutral,A high-energy female voice that ignited lively discussions.,"""Oh, Dad,"" she cried, ""here's Uncle john, who has come to live with us; and if you don't love him as much as I do I'll make your life miserable!"""
M,low,low,normal,neutral,"With a deep timbre and a slow speaking speed, the male voice creates a calming aura infused with a natural and balanced energy.","""I took the liberty of ordering circulars,"" continued Everley."
M,low,normal,low,sad,"A sorrowful male speaker utilizes a low pitch and typical speaking speed, exuding an overall impression of low energy.",There's no chance now of all of us getting away
M,normal,high,high,neutral,The man's speech is a combination of rapid delivery and high energy.,"""Why is it worth while speaking to a clever man?"
M,low,low,low,surprised,"40.The dumbfounded male voice, with its low pitch and deliberate slowness, unfolded lazily, exuding a sense of minimal energy.",He further proposed grants of an unspecified sum for experimental Hospitals
M,low,normal,low,neutral,"With a deep vocal quality and customary speech speed, his expression conveys a sense of low energy.",I went over the Falls in a barrel-not satisfactory to her.
F,high,normal,high,neutral,"Speaking with animation, her tone remains high and energetic consistently.","""Not at all,"" rejoined Thorndyke; ""the finger print is a most valuable clue as long as its evidential value is not exaggerated."
M,low,high,low,neutral,His rapid speech and minimal energy are evident in his low-pitched voice.,They offered to make an investment into it.
F,normal,high,low,neutral,"The woman's pitch remains normal, and she speaks rapidly in a low-energy manner.",We don't want to push him.
M,low,normal,normal,neutral,"The man addresses others in his familiar low-pitched tone, speaking at a regular pace with moderate vitality.","The melancholy progress up and down the room re commenced, and with it the mumbled protests from the patient."
F,high,high,high,surprised,A high-energy amazed woman's voice conveyed enthusiasm through its high pitch.,We can not do it sir.
F,normal,high,high,neutral,This girl's high-energy speech is both rapid and loud.,"""There are difficulties, and I ought to have written to you about them."
F,normal,normal,high,neutral,A woman with a loud sound and high energy.,I spoke as recklessly to her as she had spoken to me.
F,high,normal,high,neutral,"With an animated tone, she speaks in high pitches, radiating energy.","""So Adam Eve these two fella go along scrub."
F,high,normal,low,neutral,"With little energy, her voice reaches a high pitch.",People elsewhere in Scotland will feel cut off by this.)
F,high,normal,high,neutral,"With enthusiasm, she speaks in a high tone.","I shall be there a whole month, and she knew my mamma and was her dearest friend."
M,high,normal,high,surprised,"Speaking with zest, the dazed male speaker maintains a high pitch and regular pace.",Confess that you opened the thirteenth door.
F,normal,normal,low,neutral,"She talks with diminished energy, yet her speed is normal.",There are many questions to be answered.
F,normal,normal,normal,neutral,"Communicating in a standard manner, the woman's pitch and pace are usual.","""I'm cured, father,"" he said."
M,low,low,low,angry,"The low-pitched furious male voice meandered through its words, slowly and with minimal energy.",But in this one section we welcomed auditors
F,high,low,low,disgusted,The high-pitched sound of her disgusted speech contrasted her slow pace.,say the word death
M,low,high,high,neutral,The speaker's discourse resonates with energy as his low-pitched voice propels rapid-fire speech.,"They all looked, and could see, where the knife had cut into the vessel, that it was as he said."
F,high,normal,low,sad,"A downcast woman with low energy, yet a high pitch.",The name really is the aged aged man.
M,normal,normal,high,neutral,"The man's speech, with normal pitch, reflects his dynamic energy.",I have forgotten everything that surrounds me.
M,high,high,normal,neutral,"Speaking rapidly, the man's high tone filled the air.",I ain't believing you and I ain't disbelieving you.
F,high,normal,low,neutral,"A woman's voice is faint, but her tone is high-pitched.",But you can go beyond that condition.
F,high,normal,low,neutral,"A woman's voice, though quiet, holds a high pitch at a normal pace.",You make the choice.
